movieInfo,quote,star,title
导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...;1965 / 美国 / 剧情传记爱情歌舞;;,用音乐化解仇恨，让歌声串起美好。,8,音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台)
导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...;1995 / 美国 / 动作传记剧情历史战争;;,史诗大片的典范。,8,勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台)
导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...;1990 / 美国 / 剧情奇幻爱情;;,浪漫忧郁的成人童话。,8,剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华
导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...;2008 / 美国 / 剧情爱情奇幻;;,在时间之河里感受溺水之苦。,8,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童
导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...;1994 / 美国 / 剧情喜剧犯罪;;,故事的高级讲法。,8,低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港)
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...;2000 / 意大利美国 / 剧情战争情色;;,美丽无罪。,8,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜
导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...;1999 / 美国澳大利亚 / 动作科幻;;,视觉革命。,8,黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台)
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...;1998 / 美国 / 剧情历史战争;;,美利坚精神输出大片No1.,8,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台)
导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...;1991 / 美国 / 剧情犯罪惊悚;;,安东尼·霍普金斯的顶级表演。,8,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊
导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...;2008 / 日本 / 剧情;;,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8,入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台)
